# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                             New
dialog_load                      Tải
dialog_save                      Lưu
dialog_saveas                    Lưu thành
dialog_delete                    Xóa
dialog_width                     Chiều rộng
dialog_height                    Chiều cao
dialog_name                     Tên
dialog_type                     Loại
dialog_x                               X
dialog_y                               Y
dialog_z								Z
dialog_w                               W
dialog_h                               H
dialog_exit                            Thoát
dialog_cancel                          Hủy
dialog_ok                              OK
dialog_open                            Mở
dialog_close                           Đóng
dialog_closed                          Đã đóng
dialog_add                             Thêm
dialog_up                              Lên
dialog_down                            Xuống
dialog_yes                             Có
dialog_no                              Không
dialog_loading                         Đang tải...
dialog_low                             Thấp
dialog_medium                          Vừa
dialog_high                            Cao
dialog_none                            Không có
ellipsis                               ...


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title                      Trình chỉnh sửa hộp thoại
dialogeditor_back                        Về sau
dialogeditor_front                       Lên trước
dialogeditor_reloadlanguage              Tải lại ngôn ngữ
dialogeditor_test                        Thử nghiệm
dialogeditor_window                      Cửa sổ
dialogeditor_grid                        Lưới
dialogeditor_caption                     Chú thích
dialogeditor_component                   Thành phần
dialogeditor_select						Chọn
dialogeditor_create						Tạo
dialogeditor_background                  Ảnh nền
dialogeditor_panel                       Bảng điều khiển

dialogcomponent_custom                  Tùy chỉnh
dialogcomponent_button                  Nút
dialogcomponent_container                Hộp chứa
dialogcomponent_caption                  Chú thích
dialogcomponent_titlecaption             Chú thích tiêu đề
dialogcomponent_checkbox                 Hộp kiểm
dialogcomponent_inputfield              Ô nhập liệu
dialogcomponent_inputslider              Thanh trượt nhập liệu
dialogcomponent_dropdownmenu             Menu thả xuống
dialogcomponent_selectionlist            Danh sách lựa chọn
dialogcomponent_selectionlistitem        Mục danh sách lựa chọn
dialogcomponent_scrollbar                Thanh cuộn
dialogcomponent_progressbar              Thanh tiến trình
dialogcomponent_canvas                   Vùng vẽ
dialogcomponent_iconbox					Hộp biểu tượng

dialogposition_absolute                  Tuyệt đối
dialogposition_relative                  Tương đối
dialogposition_scaled                    Theo tỷ lệ


# =============================================================================
# Profiler
# =============================================================================

profiler_title                           Bộ phân tích hiệu năng
profiler_name                            Tên
profiler_timings                         Thời gian thực thi
profiler_totaltime                       Tổng cộng
profiler_glfinishcaption                 glFinish
profiler_reset                           Đặt lại


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title                 Kênh âm thanh
soundeditor_title                        Trình chỉnh sửa âm thanh
soundinstanceeditor_title				Trình chỉnh sửa phiên bản âm thanh

soundeditor_positiontitle		        Loại vị trí
soundeditor_instancetitle		        Loại phiên bản
soundeditor_looptitle			        Loại lặp
soundeditor_sourcetypetitle		        Loại âm thanh
soundeditor_soundnametitle		        Tên âm thanh

soundeditor_volumetitle			        Âm lượng
soundeditor_frequencytitle               Tần số
soundeditor_mindistancetitle             Khoảng cách tối thiểu
soundeditor_attacktitle                  Attack
soundeditor_sustaintitle                 Sustain
soundeditor_releasetitle                 Release
soundeditor_loopdelaytitle               Độ trễ lặp
soundeditor_dsptitle                     DSP
soundeditor_nexteventtitle               Sự kiện tiếp theo

soundeditor_play                         Phát
soundeditor_stop                         Dừng

soundparametereditor_title               Tham số âm thanh
soundparametereditor_typetitle          Loại
soundparametereditor_linktitle          Liên kết với
soundparametereditor_updatetitle        Loại cập nhật
soundparametereditor_smoothing           Làm mượt
soundparametereditor_chaintitle          Chuỗi

soundeditor_newdsp                       Thêm DSP
sounddspeditor_title                     Trình chỉnh sửa DSP
samplebankeditor_title                  Trình chỉnh sửa ngân hàng mẫu âm
samplebankeditor_addsample               Thêm âm thanh
samplebank                               (Ngân hàng mẫu âm)


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done                             Xong
interfacemode_destroy                          Phá hủy
interfacemode_foundations				       Móng công trình
interfacemode_construction                     Vật liệu
interfacemode_planning                         Lập kế hoạch
interfacemode_objects                          Vật thể
interfacemode_designation                      Phòng
interfacemode_utilities                        Tiện ích
interfacemode_staff                            Nhân viên
interfacemode_deployment                       Bố trí
interfacemode_logistics                        Hậu cần
interfacemode_prisoners                        Tù nhân
interfacemode_needs                            Nhu cầu
interfacemode_threats                          Mối đe dọa
interfacemode_overlays                         Lớp phủ
interfacemode_research                         Hành chính
interfacemode_emergencies                      Khẩn cấp
interfacemode_clone                            Nhân bản
interfacemode_contraband                       Tình báo
interfacemode_grading                          Xếp hạng
interfacemode_spawn                            (Tạo ra)
interfacemode_properties                       (Thuộc tính)
interfacemode_cutscenes                        (Cảnh cắt)
interfacemode_selection                        Chọn
interfacemode_prefabs                          Xây nhanh

interfaceoverlay_security                       An ninh
interfaceoverlay_patrols                        Tuần tra
interfaceoverlay_decay                          Xuống cấp
interfaceoverlay_territory                      Lãnh thổ
interfaceoverlay_contraband                     Hàng cấm

interfaceproperty_indoor                        Trong nhà
interfaceproperty_visible                       Hiển thị
interfaceproperty_territoryprisoner             Băng đảng
interfaceproperty_territoryguard                Cai ngục
interfaceproperty_sectorprisoner                Bạo loạn
interfaceproperty_tunnel                        Hầm


interfacedeployment_removeguards                Rút cai ngục
interfacedeployment_clearpatrols                Xóa tuyến tuần tra
interfacedeployment_targetting                  Hậu cần
interfacedeployment_targettingfood              Hậu cần đồ ăn
interfacedeployment_targettinglaundry           Hậu cần giặt ủi
interfacedeployment_securearea                  Khu vực an toàn
interfacedeployment_sharedzone                  Dùng chung
interfacedeployment_staffonlyzone               Chỉ riêng nhân viên
interfacedeployment_maxseczone                  Chỉ an ninh cao
interfacedeployment_medseczone                  Chỉ an ninh vừa
interfacedeployment_minseczone                  Chỉ an ninh thấp
interfacedeployment_protectedzone               Chỉ giam bảo hộ
interfacedeployment_supermaxzone                Chỉ SuperMax
interfacedeployment_deathrowzone                Chỉ tử tù
interfacedeployment_unlockedzone                Mở khóa
